"file","algorithm","variant","label","strategy","granularity","threads","recall","latency_us","speedup_vs_t1_same_variant","p","nlist","nprobe","ef","rerank_p","mode"
"flat_pthread_pool_inter_t16.txt","flat","flat_pthread_pool_inter","flat_pthread_pool_inter","pthread_pool","inter","16","0.99995","347.41335","9.179","","","","","",""
"flat_pthread_pool_inter_t2.txt","flat","flat_pthread_pool_inter","flat_pthread_pool_inter","pthread_pool","inter","2","0.99995","1542.35955","2.0675","","","","","",""
"flat_pthread_pool_inter_t4.txt","flat","flat_pthread_pool_inter","flat_pthread_pool_inter","pthread_pool","inter","4","0.99995","578.00315","5.5171","","","","","",""
"flat_pthread_pool_inter_t8.txt","flat","flat_pthread_pool_inter","flat_pthread_pool_inter","pthread_pool","inter","8","0.99995","398.8193","7.9958","","","","","",""
"flat_pthread_pool_intra_t1.txt","flat","flat_pthread_pool_intra","flat_pthread_pool_intra","pthread_pool","intra","1","0.99995","5541.21375","1","","","","","",""
"flat_pthread_pool_intra_t16.txt","flat","flat_pthread_pool_intra","flat_pthread_pool_intra","pthread_pool","intra","16","0.99995","4821.8389","1.1492","","","","","",""
"flat_pthread_pool_intra_t2.txt","flat","flat_pthread_pool_intra","flat_pthread_pool_intra","pthread_pool","intra","2","0.99995","4193.53135","1.3214","","","","","",""
"flat_pthread_pool_intra_t4.txt","flat","flat_pthread_pool_intra","flat_pthread_pool_intra","pthread_pool","intra","4","0.99995","3569.8668","1.5522","","","","","",""
"flat_pthread_pool_intra_t8.txt","flat","flat_pthread_pool_intra","flat_pthread_pool_intra","pthread_pool","intra","8","0.99995","3400.47845","1.6295","","","","","",""
"flat_pthread_static_inter_t1.txt","flat","flat_pthread_static_inter","flat_pthread_static_inter","pthread_static","inter","1","0.99995","5160.16085","1","","","","","",""
"flat_pthread_static_inter_t16.txt","flat","flat_pthread_static_inter","flat_pthread_static_inter","pthread_static","inter","16","0.99995","340.9642","15.134","","","","","",""
"flat_pthread_static_inter_t2.txt","flat","flat_pthread_static_inter","flat_pthread_static_inter","pthread_static","inter","2","0.99995","2214.14895","2.3305","","","","","",""
"flat_pthread_static_inter_t4.txt","flat","flat_pthread_static_inter","flat_pthread_static_inter","pthread_static","inter","4","0.99995","675.36105","7.6406","","","","","",""
"flat_pthread_static_inter_t8.txt","flat","flat_pthread_static_inter","flat_pthread_static_inter","pthread_static","inter","8","0.99995","436.4457","11.8231","","","","","",""
"flat_pthread_static_intra_t1.txt","flat","flat_pthread_static_intra","flat_pthread_static_intra","pthread_static","intra","1","0.99995","4897.4","1","","","","","",""
"flat_pthread_static_intra_t16.txt","flat","flat_pthread_static_intra","flat_pthread_static_intra","pthread_static","intra","16","0.99995","2746.62265","1.7831","","","","","",""
"flat_pthread_static_intra_t2.txt","flat","flat_pthread_static_intra","flat_pthread_static_intra","pthread_static","intra","2","0.99995","2408.4667","2.0334","","","","","",""
"flat_pthread_static_intra_t4.txt","flat","flat_pthread_static_intra","flat_pthread_static_intra","pthread_static","intra","4","0.99995","2756.5159","1.7767","","","","","",""
"flat_pthread_static_intra_t8.txt","flat","flat_pthread_static_intra","flat_pthread_static_intra","pthread_static","intra","8","0.99995","2171.5693","2.2552","","","","","",""
"hnsw_baseline_t1.txt","hnsw","hnsw_baseline","hnsw_baseline","baseline","","1","0.96865","65.483","1","","0","0","50","",""
"hnsw_baseline_t16.txt","hnsw","hnsw_baseline","hnsw_baseline","baseline","","16","0.96865","136.76845","0.4788","","0","0","50","",""
"hnsw_baseline_t4.txt","hnsw","hnsw_baseline","hnsw_baseline","baseline","","4","0.96865","96.73125","0.677","","0","0","50","",""
"hnsw_baseline_t8.txt","hnsw","hnsw_baseline","hnsw_baseline","baseline","","8","0.96865","133.1221","0.4919","","0","0","50","",""
"hnsw_edge_omp_t1.txt","hnsw","hnsw_edge_omp","hnsw_edge_omp","omp","","1","0.99915","390.9097","1","","0","0","50","",""
"hnsw_edge_omp_t16.txt","hnsw","hnsw_edge_omp","hnsw_edge_omp","omp","","16","0.99915","1201.97725","0.3252","","0","0","50","",""
"hnsw_edge_omp_t4.txt","hnsw","hnsw_edge_omp","hnsw_edge_omp","omp","","4","0.99915","624.9954","0.6255","","0","0","50","",""
"hnsw_edge_omp_t8.txt","hnsw","hnsw_edge_omp","hnsw_edge_omp","omp","","8","0.99915","637.65785","0.613","","0","0","50","",""
"hnsw_edge_static_t1.txt","hnsw","hnsw_edge_static","hnsw_edge_static","","","1","0.99915","1181.8446","1","","0","0","50","",""
"hnsw_edge_static_t16.txt","hnsw","hnsw_edge_static","hnsw_edge_static","","","16","0.99915","3736.4047","0.3163","","0","0","50","",""
"hnsw_edge_static_t4.txt","hnsw","hnsw_edge_static","hnsw_edge_static","","","4","0.99915","1563.8937","0.7557","","0","0","50","",""
"hnsw_edge_static_t8.txt","hnsw","hnsw_edge_static","hnsw_edge_static","","","8","0.99915","2131.7959","0.5544","","0","0","50","",""
"hnsw_ivf_nested_omp_t1.txt","hnsw","hnsw_ivf_nested_omp","hnsw_ivf_nested_omp","omp","","1","0.94705","909.47135","1","","16","4","50","",""
"hnsw_ivf_nested_omp_t16.txt","hnsw","hnsw_ivf_nested_omp","hnsw_ivf_nested_omp","omp","","16","0.94705","443.69395","2.0498","","16","4","50","",""
"hnsw_ivf_nested_omp_t4.txt","hnsw","hnsw_ivf_nested_omp","hnsw_ivf_nested_omp","omp","","4","0.94705","375.50935","2.422","","16","4","50","",""
"hnsw_ivf_nested_omp_t8.txt","hnsw","hnsw_ivf_nested_omp","hnsw_ivf_nested_omp","omp","","8","0.94705","315.1246","2.8861","","16","4","50","",""
"hnsw_ivf_nested_static_t1.txt","hnsw","hnsw_ivf_nested_static","hnsw_ivf_nested_static","","","1","0.94705","354.44695","1","","16","4","50","",""
"hnsw_ivf_nested_static_t16.txt","hnsw","hnsw_ivf_nested_static","hnsw_ivf_nested_static","","","16","0.94705","221.89735","1.5973","","16","4","50","",""
"hnsw_ivf_nested_static_t4.txt","hnsw","hnsw_ivf_nested_static","hnsw_ivf_nested_static","","","4","0.94705","400.0699","0.886","","16","4","50","",""
"hnsw_ivf_nested_static_t8.txt","hnsw","hnsw_ivf_nested_static","hnsw_ivf_nested_static","","","8","0.94705","374.94375","0.9453","","16","4","50","",""
"hnsw_layer0_omp_t1.txt","hnsw","hnsw_layer0_omp","hnsw_layer0_omp","omp","","1","0.99995","14093.847","1","","0","0","50","",""
"hnsw_layer0_omp_t16.txt","hnsw","hnsw_layer0_omp","hnsw_layer0_omp","omp","","16","0.99995","3841.86605","3.6685","","0","0","50","",""
"hnsw_layer0_omp_t4.txt","hnsw","hnsw_layer0_omp","hnsw_layer0_omp","omp","","4","0.99995","4424.0566","3.1857","","0","0","50","",""
"hnsw_layer0_omp_t8.txt","hnsw","hnsw_layer0_omp","hnsw_layer0_omp","omp","","8","0.99995","3603.25155","3.9114","","0","0","50","",""
"hnsw_layer0_static_t1.txt","hnsw","hnsw_layer0_static","hnsw_layer0_static","","","1","0.99995","13080.0483","1","","0","0","50","",""
"hnsw_layer0_static_t16.txt","hnsw","hnsw_layer0_static","hnsw_layer0_static","","","16","0.99995","6225.37985","2.1011","","0","0","50","",""
"hnsw_layer0_static_t4.txt","hnsw","hnsw_layer0_static","hnsw_layer0_static","","","4","0.99995","3400.40895","3.8466","","0","0","50","",""
"hnsw_layer0_static_t8.txt","hnsw","hnsw_layer0_static","hnsw_layer0_static","","","8","0.99995","5074.2485","2.5777","","0","0","50","",""
"hnsw_multi_entry_dynamic_t1.txt","hnsw","hnsw_multi_entry_dynamic","hnsw_multi_entry_dynamic","","","1","0.96825","316.30175","1","","0","0","50","",""
"hnsw_multi_entry_dynamic_t16.txt","hnsw","hnsw_multi_entry_dynamic","hnsw_multi_entry_dynamic","","","16","1","3199.7042","0.0989","","0","0","50","",""
"hnsw_multi_entry_dynamic_t4.txt","hnsw","hnsw_multi_entry_dynamic","hnsw_multi_entry_dynamic","","","4","1","495.77025","0.638","","0","0","50","",""
"hnsw_multi_entry_dynamic_t8.txt","hnsw","hnsw_multi_entry_dynamic","hnsw_multi_entry_dynamic","","","8","1","1933.8747","0.1636","","0","0","50","",""
"hnsw_multi_entry_omp_t1.txt","hnsw","hnsw_multi_entry_omp","hnsw_multi_entry_omp","omp","","1","0.96825","345.50435","1","","0","0","50","",""
"hnsw_multi_entry_omp_t16.txt","hnsw","hnsw_multi_entry_omp","hnsw_multi_entry_omp","omp","","16","1","794.4633","0.4349","","0","0","50","",""
"hnsw_multi_entry_omp_t4.txt","hnsw","hnsw_multi_entry_omp","hnsw_multi_entry_omp","omp","","4","1","464.8461","0.7433","","0","0","50","",""
"hnsw_multi_entry_omp_t8.txt","hnsw","hnsw_multi_entry_omp","hnsw_multi_entry_omp","omp","","8","1","631.7431","0.5469","","0","0","50","",""
"hnsw_multi_entry_pool_t1.txt","hnsw","hnsw_multi_entry_pool","hnsw_multi_entry_pool","","","1","0.96825","1221.50035","1","","0","0","50","",""
"hnsw_multi_entry_pool_t16.txt","hnsw","hnsw_multi_entry_pool","hnsw_multi_entry_pool","","","16","1","3354.0281","0.3642","","0","0","50","",""
"hnsw_multi_entry_pool_t4.txt","hnsw","hnsw_multi_entry_pool","hnsw_multi_entry_pool","","","4","1","1324.49145","0.9222","","0","0","50","",""
"hnsw_multi_entry_pool_t8.txt","hnsw","hnsw_multi_entry_pool","hnsw_multi_entry_pool","","","8","1","2141.8578","0.5703","","0","0","50","",""
"hnsw_multi_entry_static_t1.txt","hnsw","hnsw_multi_entry_static","hnsw_multi_entry_static","","","1","0.96825","687.1624","1","","0","0","50","",""
"hnsw_multi_entry_static_t16.txt","hnsw","hnsw_multi_entry_static","hnsw_multi_entry_static","","","16","1","1660.6363","0.4138","","0","0","50","",""
"hnsw_multi_entry_static_t4.txt","hnsw","hnsw_multi_entry_static","hnsw_multi_entry_static","","","4","1","1114.43905","0.6166","","0","0","50","",""
"hnsw_multi_entry_static_t8.txt","hnsw","hnsw_multi_entry_static","hnsw_multi_entry_static","","","8","1","1793.844","0.3831","","0","0","50","",""
