Function,CPU Time,Performance-core (P-core):Memory Bound(%),Performance-core (P-core):Memory Bound:L1 Bound(%),Performance-core (P-core):Memory Bound:L2 Bound(%),Performance-core (P-core):Memory Bound:L3 Bound(%),Performance-core (P-core):Memory Bound:DRAM Bound(%),Performance-core (P-core):Memory Bound:Store Bound(%),Efficient-core (E-core):Memory Bound(%),Efficient-core (E-core):Memory Bound:L1 Bound(%),Efficient-core (E-core):Memory Bound:L2 Bound(%),Efficient-core (E-core):Memory Bound:L3 Bound(%),Efficient-core (E-core):Memory Bound:DRAM Bound(%),Loads,Stores,LLC Miss Count,Module,Function (Full),Source File,Start Address
func@0x140004cb0,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,ntfs.sys,func@0x140004cb0,[Unknown],0x140004cb0
func@0x1401147bf,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ntfs.sys,func@0x1401147bf,[Unknown],0x1401147bf
func@0x1401339d0,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ntfs.sys,func@0x1401339d0,[Unknown],0x1401339d0
func@0x14017cf70,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ntfs.sys,func@0x14017cf70,[Unknown],0x14017cf70
func@0x140202060,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ntoskrnl.exe,func@0x140202060,[Unknown],0x140202060
func@0x14021f980,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ntoskrnl.exe,func@0x14021f980,[Unknown],0x14021f980
func@0x140222210,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ntoskrnl.exe,func@0x140222210,[Unknown],0x140222210
func@0x1402595c0,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ntoskrnl.exe,func@0x1402595c0,[Unknown],0x1402595c0
func@0x140259bd0,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,ntoskrnl.exe,func@0x140259bd0,[Unknown],0x140259bd0
func@0x140281a20,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400012,0,0,ntoskrnl.exe,func@0x140281a20,[Unknown],0x140281a20
func@0x1402856f0,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ntoskrnl.exe,func@0x1402856f0,[Unknown],0x1402856f0
func@0x1403083c0,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ntoskrnl.exe,func@0x1403083c0,[Unknown],0x1403083c0
func@0x14030d510,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ntoskrnl.exe,func@0x14030d510,[Unknown],0x14030d510
func@0x140342300,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ntoskrnl.exe,func@0x140342300,[Unknown],0x140342300
func@0x1403624e0,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ntoskrnl.exe,func@0x1403624e0,[Unknown],0x1403624e0
func@0x1406b1d53,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ntoskrnl.exe,func@0x1406b1d53,[Unknown],0x1406b1d53
func@0x1406c0a80,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0,0,0,ntoskrnl.exe,func@0x1406c0a80,[Unknown],0x1406c0a80
func@0x140844830,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,ntoskrnl.exe,func@0x140844830,[Unknown],0x140844830
func@0x14086df6d,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ntoskrnl.exe,func@0x14086df6d,[Unknown],0x14086df6d
func@0x1408dd80c,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,400012,0,ntoskrnl.exe,func@0x1408dd80c,[Unknown],0x1408dd80c
func@0x1408e28dd,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ntoskrnl.exe,func@0x1408e28dd,[Unknown],0x1408e28dd
func@0x1408e84d0,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,ntoskrnl.exe,func@0x1408e84d0,[Unknown],0x1408e84d0
func@0x1409fb7f8,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,ntoskrnl.exe,func@0x1409fb7f8,[Unknown],0x1409fb7f8
func@0x180008044,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,fltmgr.sys,func@0x180008044,[Unknown],0x180008044
func@0x18000a4b0,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ntdll.dll,func@0x18000a4b0,[Unknown],0x18000a4b0
func@0x18001a530,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,cng.sys,func@0x18001a530,[Unknown],0x18001a530
func@0x18001b8e0,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,fltmgr.sys,func@0x18001b8e0,[Unknown],0x18001b8e0
func@0x1800248c0,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,fltmgr.sys,func@0x1800248c0,[Unknown],0x1800248c0
func@0x180055490,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,fltmgr.sys,func@0x180055490,[Unknown],0x180055490
func@0x180128870,0.001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,400012,0,0,ntdll.dll,func@0x180128870,[Unknown],0x180128870
ExpInterlockedPopEntrySList,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,400012,0,0,ntoskrnl.exe,ExpInterlockedPopEntrySList,[Unknown],0x1406b3890
ObOpenObjectByNameEx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,400012,0,ntoskrnl.exe,ObOpenObjectByNameEx,[Unknown],0x14089bb40
RtlAnsiCharToUnicodeChar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,400012,0,ntdll.dll,RtlAnsiCharToUnicodeChar,[Unknown],0x1800cdde0
RtlUnicodeToMultiByteN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,400012,0,0,ntdll.dll,RtlUnicodeToMultiByteN,[Unknown],0x1800b6aa0
[fileinfo.sys],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400012,0,0,fileinfo.sys,[fileinfo.sys],[Unknown],0x0
[ntoskrnl.exe],0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,400012,0,0,ntoskrnl.exe,[ntoskrnl.exe],[Unknown],0x0
func@0x1400011aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400012,0,0,bfs.sys,func@0x1400011aa,[Unknown],0x1400011aa
func@0x140001280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400012,0,0,bfs.sys,func@0x140001280,[Unknown],0x140001280
func@0x1400262ee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400012,0,0,sysdiag.sys,func@0x1400262ee,[Unknown],0x1400262ee
func@0x140028f30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,400012,0,0,sysdiag.sys,func@0x140028f30,[Unknown],0x140028f30
func@0x140055ba0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,400012,0,sysdiag.sys,func@0x140055ba0,[Unknown],0x140055ba0
func@0x140121ad0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,400012,0,ntfs.sys,func@0x140121ad0,[Unknown],0x140121ad0
func@0x14014f730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400012,0,0,ntfs.sys,func@0x14014f730,[Unknown],0x14014f730
func@0x140167750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400012,0,0,ntfs.sys,func@0x140167750,[Unknown],0x140167750
func@0x140213020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,400012,0,0,ntoskrnl.exe,func@0x140213020,[Unknown],0x140213020
func@0x140216750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,400012,0,ntoskrnl.exe,func@0x140216750,[Unknown],0x140216750
func@0x140253e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,400012,0,ntoskrnl.exe,func@0x140253e10,[Unknown],0x140253e10
func@0x1402550f0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400012,0,0,ntoskrnl.exe,func@0x1402550f0,[Unknown],0x1402550f0
func@0x1402552d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,400012,0,ntoskrnl.exe,func@0x1402552d0,[Unknown],0x1402552d0
func@0x1402595a0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,800024,0,0,ntoskrnl.exe,func@0x1402595a0,[Unknown],0x1402595a0
func@0x1402b9010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,400012,0,0,ntoskrnl.exe,func@0x1402b9010,[Unknown],0x1402b9010
func@0x1402d4bf0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,400012,0,0,ntoskrnl.exe,func@0x1402d4bf0,[Unknown],0x1402d4bf0
func@0x1402ffe67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400012,0,0,ntoskrnl.exe,func@0x1402ffe67,[Unknown],0x1402ffe67
func@0x14033a97d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100033,0,0,ntoskrnl.exe,func@0x14033a97d,[Unknown],0x14033a97d
func@0x140340301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,400012,0,ntoskrnl.exe,func@0x140340301,[Unknown],0x140340301
func@0x14040eb50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,400012,0,ntoskrnl.exe,func@0x14040eb50,[Unknown],0x14040eb50
func@0x1406accb0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100033,0,0,ntoskrnl.exe,func@0x1406accb0,[Unknown],0x1406accb0
func@0x1406b3460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400012,0,0,ntoskrnl.exe,func@0x1406b3460,[Unknown],0x1406b3460
func@0x1406be083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,400012,0,ntoskrnl.exe,func@0x1406be083,[Unknown],0x1406be083
func@0x140a4a0b0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,400012,0,ntoskrnl.exe,func@0x140a4a0b0,[Unknown],0x140a4a0b0
func@0x18000cc90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,400012,0,ntdll.dll,func@0x18000cc90,[Unknown],0x18000cc90
func@0x18000d3e0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,400012,0,ntdll.dll,func@0x18000d3e0,[Unknown],0x18000d3e0
func@0x180018090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400012,0,0,ntdll.dll,func@0x180018090,[Unknown],0x180018090
func@0x18003d500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800024,0,0,ntdll.dll,func@0x18003d500,[Unknown],0x18003d500
func@0x1800509f0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,400012,0,0,ntdll.dll,func@0x1800509f0,[Unknown],0x1800509f0
func@0x18005e020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400012,0,0,fltmgr.sys,func@0x18005e020,[Unknown],0x18005e020
func@0x18013634c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400012,0,0,ntdll.dll,func@0x18013634c,[Unknown],0x18013634c
